"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/07/2023","AQS","010730023","1","20.2","ppb","19","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/08/2023","AQS","010730023","1","12.4","ppb","11","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/09/2023","AQS","010730023","1","15.1","ppb","14","North Birmingham","23","96.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/10/2023","AQS","010730023","1","27","ppb","25","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/11/2023","AQS","010730023","1","14.4","ppb","13","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/12/2023","AQS","010730023","1","8.3","ppb","8","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/13/2023","AQS","010730023","1","14","ppb","13","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/14/2023","AQS","010730023","1","9","ppb","8","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/15/2023","AQS","010730023","1","29.4","ppb","27","North Birmingham","19","79.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/16/2023","AQS","010730023","1","32.5","ppb","30","North Birmingham","21","88.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/17/2023","AQS","010730023","1","7.8","ppb","7","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/18/2023","AQS","010730023","1","8.4","ppb","8","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/19/2023","AQS","010730023","1","9.1","ppb","8","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/20/2023","AQS","010730023","1","27.9","ppb","25","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/21/2023","AQS","010730023","1","30.4","ppb","28","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/22/2023","AQS","010730023","1","19.2","ppb","18","North Birmingham","21","88.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/23/2023","AQS","010730023","1","21.6","ppb","20","North Birmingham","22","92.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/24/2023","AQS","010730023","1","13.4","ppb","12","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/25/2023","AQS","010730023","1","25.2","ppb","24","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/26/2023","AQS","010730023","1","24.5","ppb","23","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/27/2023","AQS","010730023","1","11.3","ppb","10","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/28/2023","AQS","010730023","1","20.4","ppb","19","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/29/2023","AQS","010730023","1","35.3","ppb","33","North Birmingham","21","88.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/30/2023","AQS","010730023","1","26.9","ppb","25","North Birmingham","18","75.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/01/2023","AQS","010730023","1","11.1","ppb","10","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/02/2023","AQS","010730023","1","17.4","ppb","16","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/03/2023","AQS","010730023","1","17.5","ppb","16","North Birmingham","23","96.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/04/2023","AQS","010730023","1","10.1","ppb","9","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/05/2023","AQS","010730023","1","9.3","ppb","8","North Birmingham","20","83.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/06/2023","AQS","010730023","1","23.9","ppb","22","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/07/2023","AQS","010730023","1","4","ppb","4","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/08/2023","AQS","010730023","1","5.3","ppb","5","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/09/2023","AQS","010730023","1","11.6","ppb","10","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/10/2023","AQS","010730023","1","39.7","ppb","37","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/11/2023","AQS","010730023","1","39.5","ppb","37","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/12/2023","AQS","010730023","1","39.2","ppb","37","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/13/2023","AQS","010730023","1","40.6","ppb","38","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/14/2023","AQS","010730023","1","14","ppb","13","North Birmingham","19","79.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/15/2023","AQS","010730023","1","11.6","ppb","10","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/16/2023","AQS","010730023","1","5.9","ppb","5","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/17/2023","AQS","010730023","1","37.1","ppb","35","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/18/2023","AQS","010730023","1","37.9","ppb","35","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/19/2023","AQS","010730023","1","33.3","ppb","31","North Birmingham","22","92.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/20/2023","AQS","010730023","1","32.6","ppb","30","North Birmingham","20","83.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/21/2023","AQS","010730023","1","9.1","ppb","8","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/22/2023","AQS","010730023","1","17.8","ppb","16","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/23/2023","AQS","010730023","1","4.1","ppb","4","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/24/2023","AQS","010730023","1","8.3","ppb","8","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/25/2023","AQS","010730023","1","16.4","ppb","15","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/26/2023","AQS","010730023","1","18.5","ppb","17","North Birmingham","20","83.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/27/2023","AQS","010730023","1","9.8","ppb","8","North Birmingham","22","92.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/28/2023","AQS","010730023","1","19","ppb","18","North Birmingham","20","83.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/29/2023","AQS","010730023","1","16","ppb","15","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/30/2023","AQS","010730023","1","9","ppb","8","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/01/2023","AQS","010730023","1","10.4","ppb","9","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/02/2023","AQS","010730023","1","29.2","ppb","27","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/03/2023","AQS","010730023","1","32.9","ppb","30","North Birmingham","22","92.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/04/2023","AQS","010730023","1","28.3","ppb","26","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/05/2023","AQS","010730023","1","23.3","ppb","22","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/06/2023","AQS","010730023","1","10.2","ppb","9","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/07/2023","AQS","010730023","1","10.1","ppb","9","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/08/2023","AQS","010730023","1","13.6","ppb","12","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/09/2023","AQS","010730023","1","12.5","ppb","11","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/10/2023","AQS","010730023","1","26.7","ppb","25","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/11/2023","AQS","010730023","1","11.6","ppb","10","North Birmingham","19","79.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/12/2023","AQS","010730023","1","14.8","ppb","13","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/13/2023","AQS","010730023","1","21.9","ppb","20","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/14/2023","AQS","010730023","1","20","ppb","19","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/15/2023","AQS","010730023","1","14.9","ppb","13","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/16/2023","AQS","010730023","1","17.1","ppb","16","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/17/2023","AQS","010730023","1","25","ppb","24","North Birmingham","23","96.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/18/2023","AQS","010730023","1","16.2","ppb","15","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/19/2023","AQS","010730023","1","7.3","ppb","7","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/20/2023","AQS","010730023","1","6.2","ppb","6","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/21/2023","AQS","010730023","1","11.8","ppb","10","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/22/2023","AQS","010730023","1","11","ppb","10","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/23/2023","AQS","010730023","1","10","ppb","9","North Birmingham","19","79.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/24/2023","AQS","010730023","1","32.4","ppb","30","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/25/2023","AQS","010730023","1","28.5","ppb","26","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/26/2023","AQS","010730023","1","32.8","ppb","30","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/27/2023","AQS","010730023","1","16","ppb","15","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/28/2023","AQS","010730023","1","7.6","ppb","7","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/29/2023","AQS","010730023","1","15.8","ppb","14","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/30/2023","AQS","010730023","1","29.4","ppb","27","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"05/31/2023","AQS","010730023","1","21.3","ppb","20","North Birmingham","22","92.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/01/2023","AQS","010730023","1","28.2","ppb","26","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"06/02/2023","AQS","010730023","1","23.5","ppb","22","North Birmingham","24","100.0000","42602","Nitrogen dioxide (NO2)","200","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
