"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"08/08/2023","AQS","011179001","1","7.9","ppb","10","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/09/2023","AQS","011179001","1","4.7","ppb","6","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/10/2023","AQS","011179001","1","1.3","ppb","1","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/11/2023","AQS","011179001","1","1.1","ppb","1","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/12/2023","AQS","011179001","1","0.8","ppb","0","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/13/2023","AQS","011179001","1","0.9","ppb","0","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/14/2023","AQS","011179001","1","3.3","ppb","4","Lhoist, Montevallo Plant","22","92.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/15/2023","AQS","011179001","1","2","ppb","3","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/16/2023","AQS","011179001","1","1.1","ppb","1","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/17/2023","AQS","011179001","1","1.8","ppb","1","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/18/2023","AQS","011179001","1","1.4","ppb","1","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/19/2023","AQS","011179001","1","18.6","ppb","26","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/20/2023","AQS","011179001","1","24.9","ppb","34","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/21/2023","AQS","011179001","1","19.7","ppb","27","Lhoist, Montevallo Plant","22","92.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/22/2023","AQS","011179001","1","2.3","ppb","3","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/23/2023","AQS","011179001","1","31.1","ppb","44","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/24/2023","AQS","011179001","1","47.4","ppb","65","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/25/2023","AQS","011179001","1","2.2","ppb","3","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/26/2023","AQS","011179001","1","1.6","ppb","1","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/27/2023","AQS","011179001","1","3.5","ppb","4","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/28/2023","AQS","011179001","1","3.1","ppb","4","Lhoist, Montevallo Plant","22","92.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
"08/29/2023","AQS","011179001","1","19.2","ppb","27","Lhoist, Montevallo Plant","23","96.0000","42401","Sulfur dioxide","100","13820","Birmingham-Hoover, AL","01","Alabama","117","Shelby","33.0928","-86.8072"
